word_text,category,risk_level,status
广告,广告,3,1
推广,广告,3,1
营销,广告,3,1
促销,广告,3,1
特价,广告,3,1
优惠,广告,3,1
折扣,广告,3,1
限时,广告,3,1
抢购,广告,3,1
秒杀,广告,3,1
团购,广告,3,1
包邮,广告,3,1
免费,广告,4,1
免费送,广告,4,1
免费领取,广告,4,1
免费试用,广告,4,1
免费下载,广告,4,1
免费观看,广告,4,1
免费注册,广告,4,1
免费会员,广告,4,1
免费课程,广告,4,1
免费培训,广告,4,1
免费咨询,广告,4,1
免费服务,广告,4,1
免费安装,广告,4,1
免费维修,广告,4,1
免费检测,广告,4,1
免费体检,广告,4,1
免费诊断,广告,4,1
免费评估,广告,4,1
免费规划,广告,4,1
免费设计,广告,4,1
免费方案,广告,4,1
免费报价,广告,4,1
免费预算,广告,4,1
免费申请,广告,4,1
免费报名,广告,4,1
免费参加,广告,4,1
免费加入,广告,4,1
免费成为,广告,4,1
免费升级,广告,4,1
免费更新,广告,4,1
免费升级会员,广告,4,1
免费更新版本,广告,4,1
免费升级服务,广告,4,1
免费更新内容,广告,4,1
免费升级套餐,广告,4,1
免费更新系统,广告,4,1
免费升级设备,广告,4,1
免费更新软件,广告,4,1
免费升级功能,广告,4,1
免费更新数据,广告,4,1
免费升级技术,广告,4,1
免费更新信息,广告,4,1
免费升级品质,广告,4,1
免费更新资料,广告,4,1
免费升级体验,广告,4,1
免费更新产品,广告,4,1
免费升级等级,广告,4,1
免费更新服务,广告,4,1
免费升级权益,广告,4,1
免费更新方案,广告,4,1
免费升级保障,广告,4,1
免费更新报价,广告,4,1
免费升级保障计划,广告,4,1
免费更新预算方案,广告,4,1
免费升级会员权益,广告,4,1
免费更新服务内容,广告,4,1
免费升级服务保障,广告,4,1
免费更新产品信息,广告,4,1
免费升级技术支持,广告,4,1
免费更新系统版本,广告,4,1
免费升级设备配置,广告,4,1
免费更新软件功能,广告,4,1
免费升级功能模块,广告,4,1
免费更新数据信息,广告,4,1
免费升级技术方案,广告,4,1
免费更新信息资料,广告,4,1
免费升级品质保障,广告,4,1
免费更新资料文档,广告,4,1
免费升级体验服务,广告,4,1
