word_text,category,risk_level,status
赌博,赌博,5,1
赌场,赌博,5,1
博彩,赌博,5,1
彩票,赌博,4,1
六合彩,赌博,5,1
时时彩,赌博,5,1
快三,赌博,5,1
双色球,赌博,4,1
大乐透,赌博,4,1
福利彩票,赌博,4,1
体育彩票,赌博,4,1
网上赌博,赌博,5,1
在线赌博,赌博,5,1
网络赌博,赌博,5,1
赌博网站,赌博,5,1
赌博平台,赌博,5,1
赌博软件,赌博,5,1
赌博APP,赌博,5,1
赌博游戏,赌博,5,1
赌博网站,赌博,5,1
赌博网址,赌博,5,1
赌博链接,赌博,5,1
赌博资源,赌博,5,1
赌博技巧,赌博,5,1
赌博方法,赌博,5,1
赌博策略,赌博,5,1
赌博规则,赌博,5,1
赌博玩法,赌博,5,1
赌博教程,赌博,5,1
赌博指南,赌博,5,1
赌博经验,赌博,5,1
赌博心得,赌博,5,1
赌博赢钱,赌博,5,1
赌博赚钱,赌博,5,1
赌博发财,赌博,5,1
赌博致富,赌博,5,1
赌博赢大钱,赌博,5,1
赌博赚大钱,赌博,5,1
赌博发大财,赌博,5,1
赌博致大富,赌博,5,1
赌博赢钱技巧,赌博,5,1
赌博赚钱方法,赌博,5,1
赌博发财策略,赌博,5,1
赌博致富指南,赌博,5,1
赌博赢大钱技巧,赌博,5,1
赌博赚大钱方法,赌博,5,1
赌博发大财策略,赌博,5,1
赌博致大富指南,赌博,5,1
毒品,毒品,5,1
吸毒,毒品,5,1
贩毒,毒品,5,1
制毒,毒品,5,1
走私毒品,毒品,5,1
毒品交易,毒品,5,1
毒品买卖,毒品,5,1
毒品市场,毒品,5,1
毒品价格,毒品,5,1
毒品来源,毒品,5,1
毒品渠道,毒品,5,1
毒品购买,毒品,5,1
毒品销售,毒品,5,1
毒品运输,毒品,5,1
毒品储存,毒品,5,1
毒品加工,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
毒品制作,毒品,5,1
毒品生产,毒品,5,1
毒品制造,毒品,5,1
毒品提炼,毒品,5,1
毒品合成,毒品,5,1
毒品种植,毒品,5,1
毒品收获,毒品,5,1
毒品加工,毒品,5,1
