word_text,category,risk_level,status
政治敏感词,政治,5,1
政治人物,政治,5,1
政治事件,政治,5,1
政治丑闻,政治,5,1
政治黑幕,政治,5,1
政治迫害,政治,5,1
政治运动,政治,5,1
政治抗议,政治,5,1
政治阴谋,政治,5,1
政治颠覆,政治,5,1
政治分裂,政治,5,1
政治反动,政治,5,1
政治极端,政治,5,1
政治激进,政治,5,1
政治暴动,政治,5,1
政治暴乱,政治,5,1
政治暴力,政治,5,1
政治恐怖,政治,5,1
政治独裁,政治,5,1
政治专制,政治,5,1
政治腐败,政治,5,1
政治贪污,政治,5,1
政治受贿,政治,5,1
政治滥用,政治,5,1
政治渎职,政治,5,1
政治违法,政治,5,1
政治犯罪,政治,5,1
政治非法,政治,5,1
政治违规,政治,5,1
政治违纪,政治,5,1
政治不端,政治,5,1
政治丑闻,政治,5,1
政治黑幕,政治,5,1
政治黑箱,政治,5,1
政治暗箱,政治,5,1
政治黑幕,政治,5,1
政治黑幕,政治,5,1
政治黑幕,政治,5,1
政治黑幕,政治,5,1
