word_text,category,risk_level,status
色情,色情,5,1
黄色,色情,5,1
成人,色情,4,1
AV,色情,5,1
AV女优,色情,5,1
AV男优,色情,5,1
AV影片,色情,5,1
AV视频,色情,5,1
AV电影,色情,5,1
AV下载,色情,5,1
AV在线,色情,5,1
AV观看,色情,5,1
AV免费,色情,5,1
AV网站,色情,5,1
AV网址,色情,5,1
AV链接,色情,5,1
AV资源,色情,5,1
AV种子,色情,5,1
AV磁力,色情,5,1
AV番号,色情,5,1
AV作品,色情,5,1
AV演员,色情,5,1
AV明星,色情,5,1
AV偶像,色情,5,1
AV写真,色情,5,1
AV图片,色情,5,1
AV照片,色情,5,1
AV壁纸,色情,5,1
AV头像,色情,5,1
AV表情,色情,5,1
AV动态,色情,5,1
AVGIF,色情,5,1
AV动图,色情,5,1
AV表情包,色情,5,1
AV动态图,色情,5,1
AV表情包大全,色情,5,1
AV动态图大全,色情,5,1
AV表情包下载,色情,5,1
AV动态图下载,色情,5,1
AV表情包免费,色情,5,1
AV动态图免费,色情,5,1
AV表情包在线,色情,5,1
AV动态图在线,色情,5,1
AV表情包网站,色情,5,1
AV动态图网站,色情,5,1
AV表情包网址,色情,5,1
AV动态图网址,色情,5,1
AV表情包链接,色情,5,1
AV动态图链接,色情,5,1
AV表情包资源,色情,5,1
AV动态图资源,色情,5,1
AV表情包种子,色情,5,1
AV动态图种子,色情,5,1
AV表情包磁力,色情,5,1
AV动态图磁力,色情,5,1
AV表情包番号,色情,5,1
AV动态图番号,色情,5,1
AV表情包作品,色情,5,1
AV动态图作品,色情,5,1
AV表情包演员,色情,5,1
AV动态图演员,色情,5,1
AV表情包明星,色情,5,1
AV动态图明星,色情,5,1
AV表情包偶像,色情,5,1
AV动态图偶像,色情,5,1
AV表情包写真,色情,5,1
AV动态图写真,色情,5,1
AV表情包图片,色情,5,1
AV动态图图片,色情,5,1
AV表情包照片,色情,5,1
AV动态图照片,色情,5,1
AV表情包壁纸,色情,5,1
AV动态图壁纸,色情,5,1
AV表情包头像,色情,5,1
AV动态图头像,色情,5,1
AV表情包表情,色情,5,1
AV动态图表情,色情,5,1
