word_text,category,risk_level,status
卧槽,脏话,5,1
他妈的,脏话,5,1
妈的,脏话,4,1
傻逼,脏话,5,1
操你妈,脏话,5,1
操你大爷,脏话,5,1
操你祖宗,脏话,5,1
狗日的,脏话,5,1
狗娘养的,脏话,5,1
婊子养的,脏话,5,1
畜生,脏话,4,1
禽兽,脏话,4,1
王八蛋,脏话,4,1
混蛋,脏话,3,1
狗东西,脏话,3,1
废物,脏话,3,1
垃圾,脏话,3,1
傻逼玩意,脏话,5,1
傻X,脏话,5,1
傻B,脏话,5,1
傻缺,脏话,4,1
傻吊,脏话,4,1
傻屌,脏话,4,1
傻鸟,脏话,3,1
傻货,脏话,3,1
二逼,脏话,4,1
二B,脏话,4,1
二货,脏话,3,1
逗比,脏话,3,1
逗B,脏话,3,1
煞笔,脏话,5,1
煞B,脏话,5,1
煞比,脏话,5,1
傻逼玩意儿,脏话,5,1
妈了个巴子,脏话,5,1
妈了个逼,脏话,5,1
妈了个屄,脏话,5,1
妈了个卵,脏话,5,1
妈了个蛋,脏话,4,1
妈了个巴,脏话,4,1
妈了个腿,脏话,3,1
妈了个鸡,脏话,4,1
妈了个臭,脏话,3,1
妈了个逼的,脏话,5,1
他妈的臭,脏话,4,1
他妈的蛋,脏话,4,1
他妈的鸡,脏话,4,1
他妈的腿,脏话,3,1
他妈的巴,脏话,4,1
他妈的逼,脏话,5,1
他妈的屄,脏话,5,1
他妈的卵,脏话,5,1
他妈的玩意,脏话,5,1
他妈的货,脏话,4,1
他妈的货色,脏话,4,1
他妈的东西,脏话,4,1
他妈的玩意儿,脏话,5,1
他妈的废物,脏话,4,1
他妈的垃圾,脏话,4,1
他妈的畜生,脏话,5,1
他妈的禽兽,脏话,5,1
他妈的王八蛋,脏话,5,1
他妈的混蛋,脏话,4,1
他妈的狗东西,脏话,4,1
他妈的狗日的,脏话,5,1
他妈的狗娘养的,脏话,5,1
他妈的婊子养的,脏话,5,1
他妈的傻逼,脏话,5,1
他妈的傻X,脏话,5,1
他妈的傻B,脏话,5,1
他妈的煞笔,脏话,5,1
他妈的煞B,脏话,5,1
他妈的煞比,脏话,5,1
他妈的二逼,脏话,4,1
他妈的二B,脏话,4,1
他妈的二货,脏话,3,1
他妈的逗比,脏话,3,1
他妈的逗B,脏话,3,1
他妈的傻缺,脏话,4,1
他妈的傻吊,脏话,4,1
他妈的傻屌,脏话,4,1
他妈的傻鸟,脏话,3,1
他妈的傻货,脏话,3,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
他妈的傻逼玩意儿,脏话,5,1
他妈的傻逼玩意,脏话,5,1
