word_text,category,risk_level,status
杀人,暴力,5,1
杀戮,暴力,5,1
屠杀,暴力,5,1
灭门,暴力,5,1
砍杀,暴力,5,1
刺杀,暴力,5,1
谋杀,暴力,5,1
暗杀,暴力,5,1
枪杀,暴力,5,1
射杀,暴力,5,1
刀杀,暴力,5,1
血洗,暴力,5,1
灭族,暴力,5,1
种族灭绝,暴力,5,1
种族清洗,暴力,5,1
大屠杀,暴力,5,1
集体屠杀,暴力,5,1
无差别攻击,暴力,5,1
报复性攻击,暴力,5,1
恐怖袭击,暴力,5,1
自杀式袭击,暴力,5,1
炸弹袭击,暴力,5,1
爆炸袭击,暴力,5,1
汽车炸弹,暴力,5,1
人体炸弹,暴力,5,1
自杀炸弹,暴力,5,1
生化武器,暴力,5,1
化学武器,暴力,5,1
核武器,暴力,5,1
放射性武器,暴力,5,1
大规模杀伤性武器,暴力,5,1
制造炸弹,暴力,5,1
制作炸药,暴力,5,1
爆炸物制作,暴力,5,1
自制炸弹,暴力,5,1
简易爆炸装置,暴力,5,1
IED,暴力,5,1
燃烧瓶,暴力,5,1
汽油弹,暴力,5,1
莫洛托夫鸡尾酒,暴力,5,1
纵火,暴力,5,1
放火,暴力,5,1
烧毁,暴力,5,1
炸毁,暴力,5,1
爆破,暴力,5,1
破坏,暴力,4,1
袭击,暴力,4,1
攻击,暴力,4,1
殴打,暴力,4,1
殴打他人,暴力,4,1
暴力殴打,暴力,4,1
群殴,暴力,4,1
斗殴,暴力,4,1
打架,暴力,3,1
械斗,暴力,4,1
持械斗殴,暴力,4,1
持刀行凶,暴力,5,1
持枪行凶,暴力,5,1
持械抢劫,暴力,5,1
持刀抢劫,暴力,5,1
持枪抢劫,暴力,5,1
抢劫,暴力,4,1
抢夺,暴力,4,1
劫持,暴力,5,1
绑架,暴力,5,1
绑架勒索,暴力,5,1
绑架杀人,暴力,5,1
绑架儿童,暴力,5,1
拐卖,暴力,5,1
拐卖妇女,暴力,5,1
拐卖儿童,暴力,5,1
人口贩卖,暴力,5,1
贩卖人口,暴力,5,1
非法拘禁,暴力,5,1
非法拘禁他人,暴力,5,1
非法拘禁罪,暴力,5,1
故意伤害,暴力,4,1
故意伤害他人,暴力,4,1
故意伤害罪,暴力,4,1
故意杀人,暴力,5,1
故意杀人罪,暴力,5,1
过失致人死亡,暴力,4,1
过失致死,暴力,4,1
故意毁坏财物,暴力,4,1
故意毁坏公私财物,暴力,4,1
故意毁坏财物罪,暴力,4,1
破坏公物,暴力,4,1
破坏公共设施,暴力,4,1
破坏交通设施,暴力,5,1
破坏电力设备,暴力,5,1
破坏易燃易爆设备,暴力,5,1
破坏交通工具,暴力,5,1
破坏广播电视设施,暴力,4,1
破坏公用电信设施,暴力,4,1
危害公共安全,暴力,5,1
以危险方法危害公共安全,暴力,5,1
放火罪,暴力,5,1
爆炸罪,暴力,5,1
决水罪,暴力,5,1
投放危险物质罪,暴力,5,1
以危险方法危害公共安全罪,暴力,5,1
组织领导参加恐怖组织罪,暴力,5,1
资助恐怖活动罪,暴力,5,1
劫持航空器罪,暴力,5,1
劫持船只汽车罪,暴力,5,1
暴力危及飞行安全罪,暴力,5,1
破坏交通设施罪,暴力,5,1
破坏电力设备罪,暴力,5,1
破坏易燃易爆设备罪,暴力,5,1
破坏广播电视设施罪,暴力,4,1
破坏公用电信设施罪,暴力,4,1
非法制造买卖运输邮寄储存枪支弹药爆炸物罪,暴力,5,1
违规制造销售枪支罪,暴力,5,1
盗窃抢夺枪支弹药爆炸物罪,暴力,5,1
抢劫枪支弹药爆炸物罪,暴力,5,1
非法持有私藏枪支弹药罪,暴力,5,1
非法出租出借枪支罪,暴力,5,1
丢失枪支不报罪,暴力,5,1
非法携带枪支弹药管制刀具危险物品危及公共安全罪,暴力,5,1
暴力取证罪,暴力,5,1
刑讯逼供罪,暴力,5,1
虐待被监管人罪,暴力,5,1
煽动民族仇恨民族歧视罪,暴力,5,1
出版歧视侮辱少数民族作品罪,暴力,5,1
非法剥夺公民宗教信仰自由罪,暴力,5,1
侵犯少数民族风俗习惯罪,暴力,5,1
私分国有资产罪,暴力,4,1
私分罚没财物罪,暴力,4,1
暴力干涉婚姻自由罪,暴力,5,1
重婚罪,暴力,4,1
破坏军婚罪,暴力,4,1
虐待罪,暴力,4,1
遗弃罪,暴力,4,1
拐骗儿童罪,暴力,5,1
组织残疾人儿童乞讨罪,暴力,5,1
组织未成年人进行违反治安管理活动罪,暴力,5,1
暴力恐怖活动,暴力,5,1
暴力恐怖犯罪,暴力,5,1
暴力恐怖袭击,暴力,5,1
暴力恐怖事件,暴力,5,1
暴力恐怖主义,暴力,5,1
极端暴力,暴力,5,1
极端暴力行为,暴力,5,1
极端暴力犯罪,暴力,5,1
极端暴力事件,暴力,5,1
极端暴力组织,暴力,5,1
极端主义,暴力,5,1
极端主义思想,暴力,5,1
极端主义组织,暴力,5,1
极端主义分子,暴力,5,1
极端恐怖主义,暴力,5,1
极端恐怖组织,暴力,5,1
极端恐怖分子,暴力,5,1
暴力极端主义,暴力,5,1
暴力极端组织,暴力,5,1
暴力极端分子,暴力,5,1
暴力犯罪,暴力,4,1
暴力犯罪行为,暴力,4,1
暴力犯罪团伙,暴力,4,1
暴力犯罪组织,暴力,4,1
暴力犯罪集团,暴力,4,1
暴力犯罪分子,暴力,4,1
暴力犯罪案件,暴力,4,1
暴力犯罪活动,暴力,4,1
暴力行为,暴力,4,1
暴力活动,暴力,4,1
暴力事件,暴力,4,1
暴力冲突,暴力,4,1
暴力对抗,暴力,4,1
暴力抗议,暴力,4,1
暴力示威,暴力,4,1
暴力游行,暴力,4,1
暴力骚乱,暴力,4,1
暴力动乱,暴力,4,1
暴力暴乱,暴力,4,1
暴力革命,暴力,4,1
暴力推翻,暴力,5,1
暴力夺取,暴力,5,1
暴力夺取政权,暴力,5,1
暴力推翻政府,暴力,5,1
暴力颠覆,暴力,5,1
暴力颠覆国家,暴力,5,1
暴力颠覆政权,暴力,5,1
暴力分裂,暴力,5,1
暴力分裂国家,暴力,5,1
暴力分裂活动,暴力,5,1
暴力分裂主义,暴力,5,1
暴力分裂组织,暴力,5,1
暴力分裂分子,暴力,5,1
暴力破坏,暴力,4,1
暴力破坏活动,暴力,4,1
暴力破坏行为,暴力,4,1
暴力破坏公共秩序,暴力,4,1
暴力破坏社会秩序,暴力,4,1
暴力扰乱,暴力,4,1
暴力扰乱公共秩序,暴力,4,1
暴力扰乱社会秩序,暴力,4,1
暴力冲击,暴力,4,1
暴力冲击政府,暴力,5,1
暴力冲击机关,暴力,5,1
暴力冲击单位,暴力,5,1
暴力冲击会场,暴力,4,1
暴力冲击现场,暴力,4,1
暴力围攻,暴力,4,1
暴力围攻政府,暴力,5,1
暴力围攻机关,暴力,5,1
暴力围攻单位,暴力,5,1
暴力围攻会场,暴力,4,1
暴力围攻现场,暴力,4,1
暴力袭击政府,暴力,5,1
暴力袭击机关,暴力,5,1
暴力袭击单位,暴力,5,1
暴力袭击会场,暴力,4,1
暴力袭击现场,暴力,4,1
暴力袭击警察,暴力,5,1
暴力袭击执法人员,暴力,5,1
暴力袭击平民,暴力,5,1
暴力袭击群众,暴力,5,1
暴力袭击无辜,暴力,5,1
暴力袭击无辜群众,暴力,5,1
暴力袭击无辜平民,暴力,5,1
暴力伤害,暴力,4,1
暴力伤害他人,暴力,4,1
暴力伤害无辜,暴力,5,1
暴力伤害无辜群众,暴力,5,1
暴力伤害无辜平民,暴力,5,1
暴力伤害警察,暴力,5,1
暴力伤害执法人员,暴力,5,1
暴力伤害儿童,暴力,5,1
暴力伤害妇女,暴力,5,1
暴力伤害老人,暴力,5,1
暴力伤害残疾人,暴力,5,1
暴力伤害弱势群体,暴力,5,1
暴力威胁,暴力,4,1
暴力威胁他人,暴力,4,1
暴力威胁政府,暴力,5,1
暴力威胁机关,暴力,5,1
暴力威胁单位,暴力,5,1
暴力威胁警察,暴力,5,1
暴力威胁执法人员,暴力,5,1
暴力威胁群众,暴力,4,1
暴力威胁平民,暴力,4,1
暴力威胁无辜,暴力,5,1
暴力威胁无辜群众,暴力,5,1
暴力威胁无辜平民,暴力,5,1
暴力恐吓,暴力,4,1
暴力恐吓他人,暴力,4,1
暴力恐吓政府,暴力,5,1
暴力恐吓机关,暴力,5,1
暴力恐吓单位,暴力,5,1
暴力恐吓警察,暴力,5,1
暴力恐吓执法人员,暴力,5,1
暴力恐吓群众,暴力,4,1
暴力恐吓平民,暴力,4,1
暴力恐吓无辜,暴力,5,1
暴力恐吓无辜群众,暴力,5,1
暴力恐吓无辜平民,暴力,5,1
暴力胁迫,暴力,4,1
暴力胁迫他人,暴力,4,1
暴力胁迫政府,暴力,5,1
暴力胁迫机关,暴力,5,1
暴力胁迫单位,暴力,5,1
暴力胁迫警察,暴力,5,1
暴力胁迫执法人员,暴力,5,1
暴力胁迫群众,暴力,4,1
暴力胁迫平民,暴力,4,1
暴力胁迫无辜,暴力,5,1
暴力胁迫无辜群众,暴力,5,1
暴力胁迫无辜平民,暴力,5,1
暴力强迫,暴力,4,1
暴力强迫他人,暴力,4,1
暴力强迫劳动,暴力,5,1
暴力强迫卖淫,暴力,5,1
暴力强迫交易,暴力,4,1
暴力强迫交易罪,暴力,4,1
暴力抗法,暴力,5,1
暴力抗拒执法,暴力,5,1
暴力抗拒警察,暴力,5,1
暴力抗拒执法人员,暴力,5,1
暴力阻挠执法,暴力,5,1
暴力阻碍执法,暴力,5,1
暴力妨碍公务,暴力,5,1
暴力妨碍公务罪,暴力,5,1
暴力冲击执法,暴力,5,1
暴力冲击警察,暴力,5,1
暴力冲击执法人员,暴力,5,1
暴力袭击执法,暴力,5,1
暴力袭击警察,暴力,5,1
暴力袭击执法人员,暴力,5,1
暴力伤害执法,暴力,5,1
暴力伤害警察,暴力,5,1
暴力伤害执法人员,暴力,5,1
暴力杀害执法,暴力,5,1
暴力杀害警察,暴力,5,1
暴力杀害执法人员,暴力,5,1
暴力劫持执法,暴力,5,1
暴力劫持警察,暴力,5,1
暴力劫持执法人员,暴力,5,1
暴力绑架执法,暴力,5,1
暴力绑架警察,暴力,5,1
暴力绑架执法人员,暴力,5,1
暴力扣押执法,暴力,5,1
暴力扣押警察,暴力,5,1
暴力扣押执法人员,暴力,5,1
暴力殴打执法,暴力,5,1
暴力殴打警察,暴力,5,1
暴力殴打执法人员,暴力,5,1
暴力侮辱执法,暴力,5,1
暴力侮辱警察,暴力,5,1
暴力侮辱执法人员,暴力,5,1
暴力诽谤执法,暴力,5,1
暴力诽谤警察,暴力,5,1
暴力诽谤执法人员,暴力,5,1
暴力威胁执法,暴力,5,1
暴力威胁警察,暴力,5,1
暴力威胁执法人员,暴力,5,1
暴力恐吓执法,暴力,5,1
暴力恐吓警察,暴力,5,1
暴力恐吓执法人员,暴力,5,1
暴力胁迫执法,暴力,5,1
暴力胁迫警察,暴力,5,1
暴力胁迫执法人员,暴力,5,1
暴力强迫执法,暴力,5,1
暴力强迫警察,暴力,5,1
暴力强迫执法人员,暴力,5,1
暴力破坏执法,暴力,5,1
暴力破坏警察,暴力,5,1
暴力破坏执法人员,暴力,5,1
暴力冲击执法机关,暴力,5,1
暴力冲击公安机关,暴力,5,1
暴力冲击司法机关,暴力,5,1
暴力冲击行政机关,暴力,5,1
暴力冲击政府部门,暴力,5,1
暴力冲击政府单位,暴力,5,1
暴力袭击执法机关,暴力,5,1
暴力袭击公安机关,暴力,5,1
暴力袭击司法机关,暴力,5,1
暴力袭击行政机关,暴力,5,1
暴力袭击政府部门,暴力,5,1
暴力袭击政府单位,暴力,5,1
暴力围攻执法机关,暴力,5,1
暴力围攻公安机关,暴力,5,1
暴力围攻司法机关,暴力,5,1
暴力围攻行政机关,暴力,5,1
暴力围攻政府部门,暴力,5,1
暴力围攻政府单位,暴力,5,1
暴力破坏执法机关,暴力,5,1
暴力破坏公安机关,暴力,5,1
暴力破坏司法机关,暴力,5,1
暴力破坏行政机关,暴力,5,1
暴力破坏政府部门,暴力,5,1
暴力破坏政府单位,暴力,5,1
暴力扰乱执法机关,暴力,5,1
暴力扰乱公安机关,暴力,5,1
暴力扰乱司法机关,暴力,5,1
暴力扰乱行政机关,暴力,5,1
暴力扰乱政府部门,暴力,5,1
暴力扰乱政府单位,暴力,5,1
暴力冲击公安机关,暴力,5,1
暴力冲击派出所,暴力,5,1
暴力冲击交警队,暴力,5,1
暴力冲击刑警队,暴力,5,1
暴力冲击特警队,暴力,5,1
暴力冲击武警部队,暴力,5,1
暴力冲击军队,暴力,5,1
暴力冲击军营,暴力,5,1
暴力冲击军事基地,暴力,5,1
暴力冲击军事设施,暴力,5,1
暴力冲击军事禁区,暴力,5,1
暴力袭击公安机关,暴力,5,1
暴力袭击派出所,暴力,5,1
暴力袭击交警队,暴力,5,1
暴力袭击刑警队,暴力,5,1
暴力袭击特警队,暴力,5,1
暴力袭击武警部队,暴力,5,1
暴力袭击军队,暴力,5,1
暴力袭击军营,暴力,5,1
暴力袭击军事基地,暴力,5,1
暴力袭击军事设施,暴力,5,1
暴力袭击军事禁区,暴力,5,1
暴力围攻公安机关,暴力,5,1
暴力围攻派出所,暴力,5,1
暴力围攻交警队,暴力,5,1
暴力围攻刑警队,暴力,5,1
暴力围攻特警队,暴力,5,1
暴力围攻武警部队,暴力,5,1
暴力围攻军队,暴力,5,1
暴力围攻军营,暴力,5,1
暴力围攻军事基地,暴力,5,1
暴力围攻军事设施,暴力,5,1
暴力围攻军事禁区,暴力,5,1
暴力破坏公安机关,暴力,5,1
暴力破坏派出所,暴力,5,1
暴力破坏交警队,暴力,5,1
暴力破坏刑警队,暴力,5,1
暴力破坏特警队,暴力,5,1
暴力破坏武警部队,暴力,5,1
暴力破坏军队,暴力,5,1
